Año,Trimestre,Provincia,Accesos por cada 100 hogares,Latitud,Longitud
2022,3,Buenos Aires,78.11,-34.6075682,-58.4370894
2022,3,Capital Federal,122.28,-34.6075682,-58.4370894
2022,3,Catamarca,65.33,-27.1910825,-67.105374
2022,3,Chaco,43.86,-26.3829647,-60.8816092
2022,3,Chubut,84.38,-43.7128356,-68.7461817
2022,3,Córdoba,88.31,-31.4166867,-64.1834193
2022,3,Corrientes,48.21,-28.991123,-57.8125606
2022,3,Entre Ríos,63.67,-31.6252842,-59.3539578
2022,3,Formosa,43.76,-24.5955306,-60.4289718
2022,3,Jujuy,58.91,-23.3161458,-65.7595288
2022,3,La Pampa,96.59,-37.2314643,-65.3972948
2022,3,La Rioja,80.66,-29.9729781,-67.0487944
2022,3,Mendoza,51.03,-34.787093,-68.4381868
2022,3,Misiones,51.82,-26.737224,-54.4315257
2022,3,Neuquén,80.37,-38.3695057,-69.832275
2022,3,Río Negro,67.98,-40.4811973,-67.6145911
2022,3,Salta,57.76,-25.1076701,-64.3494964
2022,3,San Juan,50.8,-30.7054363,-69.1988222
2022,3,San Luis,81.74,-33.2762202,-65.9515546
2022,3,Santa Cruz,43.19,-48.5693327,-70.1606767
2022,3,Santa Fe,78.55,-30.3154739,-61.1645076
2022,3,Santiago Del Estero,47.98,-27.6431016,-63.5408542
2022,3,Tierra Del Fuego,99.51,-54.4071064,-67.8974895
2022,3,Tucumán,61.14,-26.5643582,-64.882397
